T,article_title,date,event
272,Lee Sang-ho wins fourth medal of season at Scuol World Cup,2022-01-10,SBD
273,"‘배추 보이’ 이상호, 스노보드 월드컵 銅 추가",2022-01-10,SBD
274,"‘스노보드 호랑이’ 이상호, 불만 쌓일수록 메달도 쌓인다",2022-01-10,SBD
275,스노보드 월드컵서 이상호 동메달 추가,2022-01-10,SBD
276,‘배추보이' 이상호 동메달 월드컵 시즌랭킹 1위 유지,2022-01-10,SBD
277,"남자 봅슬레이 4인승 원윤종 팀, 월드컵 7차 14위",2022-01-10,BOB
278,"크로스컨트리 전설 이채원의 마지막 도전 ""갈 데까지 가보겠다""",2022-01-10,CCS
279,[그래픽] 베이징 기대주④ 크로스컨트리 전설 이채원,2022-01-10,CCS
280,[그래픽] 베이징 동계올림픽 종목 소개 - 크로스컨트리 스키,2022-01-10,CCS
281,[베이징 기대주] 6번째 올림픽 출전…크로스컨트리 전설 이채원,2022-01-10,CCS
282,[알고보는 베이징] ⑧ 체력과 인내의 결정체 크로스컨트리 스키,2022-01-10,CCS
283,"'점프 머신' 네이선 첸, 베이징행 확정…하뉴와 맞대결",2022-01-10,FSK
284,"4회전 점프 5번…남자 피겨, 더 돌고 더 뛰어야 웃는다",2022-01-10,FSK
285,첸 4회전 5종 세트 vs 하뉴 첫 4.5회전 ‘베이징 대결’,2022-01-10,FSK
286,[스포츠머그] '연아 키즈'에서 '피겨 간판'으로…인생 절반을 바친(?) 유영의 올림픽 도전기,2022-01-10,FSK
287,‘점프 머신’ vs ‘얼음 왕자’… 은반의 황제는 나야!,2022-01-10,FSK
288,"남자 피겨 네이선 첸, 베이징행…하뉴와 '세기의 대결' 기대",2022-01-10,FSK
289,'2위라도 괜찮아' 피겨 이시형과 김예림의 값진 땀방울 [베이징올림픽],2022-01-10,FSK
290,"마침내 올림픽 가는 유영, 존재감 뽐낼 최고의 기회 잡았다",2022-01-10,FSK
291,"'4회전 점프 마스터' 네이선 첸, 전미선수권대회 우승…'나와라 하뉴'",2022-01-10,FSK
292,[스포츠타임] 피겨 최종 4인 확정… 베이징으로 향하는 '연아키즈',2022-01-10,FSK
293,"""클린하게"" 남녀 피겨 간판들이 베이징서 이루고픈 것",2022-01-10,FSK
294,"Cha, Lee, You and Kim to figure skate for Korea in Beijing",2022-01-10,FSK
295,한국 피겨 유영·차준환만 있다? 김예림·이시형도 있다!,2022-01-10,FSK
296,"‘점프 머신’ 네이선 첸, 美 피겨선수권 6연패… 올림픽 티켓 땄다",2022-01-10,FSK
297,"미국 피겨 간판 네이선 첸, 자국 대회 우승…하뉴와 올림픽 우승 경쟁",2022-01-10,FSK
298,"'점프 괴물' 첸, 베이징행 사실상 확정…하뉴와 金 경쟁",2022-01-10,FSK
299,베이징 올림픽 티켓 따내고 눈시울 붉힌 김예림,2022-01-10,FSK
300,"‘이게 뭐지’ 하고 지나갔던 평창… 이게 진짜지, 새 에이스의 위용",2022-01-11,SSK
301,"베이징 금빛 질주 꿈꾸는 빙상 정재원 ""후회없이 달리고 싶어요""(인터뷰)",2022-01-11,SSK
302,"정동현, 베이징동계올림픽 알파인 스키 선발전 우승",2022-01-11,ALP
303,"'亞 알파인 스키 최강' 정동현, 4회 연속 올림픽 보인다",2022-01-11,ALP
304,[베이징 확대경②] 6번째 올림픽 크로스컨트리 이채원…전설들의 '라스트 댄스',2022-01-11,CCS
305,12년 전 연아 퀸처럼…꿈의 무대로 향하는 유영·김예림,2022-01-11,FSK
306,4대륙대회서 최종 점걸 나설 피겨 4총사…열흘 자가 격리 면제,2022-01-11,FSK
307,"점프머신 네이선 첸, 베이징행 티켓 땄다",2022-01-11,FSK
308,"홀린다, 하뉴 연기력… 떨린다, 첸의 점프력",2022-01-11,FSK
309,[그래픽] 베이징 기대주⑤ 노르딕복합 이채원,2022-01-11,NCB
310,[베이징 기대주] 한국 노르딕복합의 개척자 박제언,2022-01-11,NCB
311,[알고보는 베이징] ⑨ 스키점프와 크로스컨트리 결합한 노르딕 복합,2022-01-11,NCB
312,김민석 “베이징올림픽 빙속 첫 메달은 내가”,2022-01-12,SSK
313,‘배추보이’ 이상호 랭킹 1위 굳히고 베이징 향하나,2022-01-12,SBD
314,"‘金후보’ 이상호, 스노보드 월드컵 평행회전 5위",2022-01-12,SBD
315,[그래픽] 베이징 기대주⑥ 스노보드 이상호,2022-01-12,SBD
316,"법정공방 심석희 ""2차 가해"" vs 연맹 ""징계 타당""",2022-01-12,STK
317,"심석희 측 “빙상연맹 이중징계”…베이징행, 다음주 결론날듯",2022-01-12,STK
318,"'자격 정지 2개월' 심석희 측 ""이중징계 부당"" vs 빙상연맹 ""문제없어""",2022-01-12,STK
319,"심석희 측, 법정 공방 ""징계 시효 지나…자격정지는 이중 징계""",2022-01-12,STK
320,심석희 “부당한 이중징계” vs빙상연맹 “문제없는 징계”…올림픽 출전 놓고 법정 공방,2022-01-12,STK
321,법원에 나선 심석희 측 '국가대표 정지 징계는 이중 징계',2022-01-12,STK
322,"심석희-빙상연맹 법정공방 '팽팽', ""이중 징계 부당"" vs ""징계 사유 맞다""",2022-01-12,STK
323,"'심석희 징계 무효 가처분' 심문기일…""징계권 남용"" vs ""징계 사유""",2022-01-12,STK
324,"‘올림픽 가겠다’ 심석희, 빙상연맹과 치열한 법정 공방",2022-01-12,STK
325,빙상연맹과 법정공방…심석희 측 “부당한 징계”,2022-01-12,STK
326,"심석희 측 ""사적 메시지 불법 유출, 징계사유 아냐"" 빙상연맹과 법적 공방",2022-01-12,STK
327,Team Kim returns to Olympics ready to do it all over again,2022-01-13,CUR
328,"[베이징 확대경④] 컬링 한일전, 너를 넘어야 메달이 보인다",2022-01-13,CUR
329,"이미 레전드 '스키 여제' 시프린, 다음 시선은 올림픽 3연속 金",2022-01-13,ALP
330,"[영상] 쇼트트랙 대표팀, 20일 심석희 가처분 결과에 달렸다",2022-01-13,STK
331,Shim Suk-hee starts legal bid to overturn two-month ban,2022-01-13,STK
332,심석희 베이징행 앞으로 1주일 “치열한 법적 공방”,2022-01-13,STK
333,"쇼트트랙 올림픽 선수, 20일 이후 결정…김지유는 대표팀 합류",2022-01-13,STK
334,베이징을 빛낼 기대주 <6> 프리스타일 하프파이프 장유진,2022-01-13,FRS
335,"[영상] 시원한 설원의 곡예…로라 필, 스키 월드컵 우승",2022-01-13,FRS
336,[그래픽] 베이징 기대주⑦ 프리스타일 하프파이프 장유진,2022-01-13,FRS
337,[베이징 기대주] 프리스타일 하프파이프 '톱5' 목표 내건 장유진,2022-01-13,FRS
338,[알고보는 베이징] ⑪ 아찔한 설원의 곡예 프리스타일 스키,2022-01-13,FRS
339,"아일린 구, 그녀 국적은 ‘프리스타일’",2022-01-13,FRS
340,‘올림픽 시즌 입상 無’ 윤성빈은 자존심을 지킬 수 있을까?,2022-01-13,SKN
341,[알면 재밌는 동계종목④] 윤성빈만 알고 스켈레톤은 모르는 당신을 위해,2022-01-13,SKN
342,"[핫클립] 정동현·강영서, 베이징행 확정 '설원의 질주'",2022-01-14,ALP
343,"'알파인 스키' 정동현, 베이징행 확정 '4회 연속 올림픽 출전권 획득'",2022-01-14,ALP
344,"정동현·강영서, 베이징올림픽 알파인스키 국가대표 발탁",2022-01-14,ALP
345,"시프린의 '알파인 5관왕' 대업이냐, 고자·블로바의 반격이냐",2022-01-14,ALP
346,"하이원 정동현, 알파인 스키 4회 연속 올림픽 진출",2022-01-14,ALP
347,"알파인 스키 정동현, 4회 연속 올림픽 출전권 획득",2022-01-14,ALP
348,"정동현·강영서, 베이징올림픽 알파인스키 국가대표 선발",2022-01-14,ALP
349,"알파인 스키 간판 정동현, 4회 연속 올림픽 진출…""톱10 진입 목표""",2022-01-14,ALP
350,"알파인 스키 간판 정동현, 4회 연속 올림픽행…""톱10 진입이 목표""",2022-01-14,ALP
351,"하이원 정동현, 알파인 스키 4회 연속 올림픽 진출",2022-01-14,ALP
352,"韓 알파인 스키 간판 정동현, 4회 연속 올림픽 출전 확정",2022-01-14,ALP
353,"정동현·강영서, 베이징 올림픽 알파인 스키 국가대표로 선발",2022-01-14,ALP
354,[그래픽] 베이징 기대주⑧ 한국 알파인 스키 간판 정동현,2022-01-14,ALP
355,[그래픽] 베이징 동계올림픽 종목 소개 - 알파인스키,2022-01-14,ALP
356,[베이징 기대주] 4회 연속 올림픽행 한국 알파인 스키 간판 정동현,2022-01-14,ALP
357,[알고보는 베이징] ⑫ 눈부신 설원의 레이스 알파인스키,2022-01-14,ALP
358,"‘평창 金’ 화이트, 스노보드월드컵 예선 5위 ‘베이징행 유력’",2022-01-14,SBD
359,"'스노보드 전설' 화이트, 월드컵 예선 5위…베이징행 '예약'",2022-01-14,SBD
360,"‘스노보드 전설’ 숀 화이트, 올림픽 출전 확실시 ‘내 마지막 대회’",2022-01-14,SBD
361,"'금메달 3개' 스노보드 숀 화이트, 베이징 대회 끝으로 올림픽 은퇴",2022-01-14,SBD
362,"'스노보드 전설' 화이트, 월드컵 예선 5위…베이징행 '예약'",2022-01-14,SBD
363,"'스노보드 전설' 화이트, 월드컵 예선 5위…베이징행 '예약'",2022-01-14,SBD
364,"올림픽 2연패 노리는 클로이 김 ""못 이룰 꿈은 없다""",2022-01-14,SBD
365,스노보드 1인자 한국계 미국인 클로이 김 “지금의 나는 부모님 헌신 덕분”,2022-01-14,SBD
366,"컬링 '팀 킴', 올림픽 전까지 국내 훈련 이어간다",2022-01-15,CUR
367,"한국 알파인 스키 정동현, 개인 4회 동계올림픽 출전 확정",2022-01-15,ALP
368,'세계 1위'로 베이징 간다…'2연속 메달' 정조준,2022-01-15,SBD
369,"'스노보드' 이상호-정해림, 월드컵 혼성 평행 대회전서 동메달 획득",2022-01-15,SBD
370,'시즌 1위' 스노보드 이상호 '금빛 질주 준비 끝',2022-01-15,SBD
371,"이상호·정해림, 스노보드 월드컵 혼성 평행대회전 동메달",2022-01-15,SBD
372,"이상호·정해림, 스노보드 월드컵 혼성 평행대회전 동메달 획득",2022-01-15,SBD
373,"이상호 · 정해림, 스노보드 월드컵 혼성 평행대회전 동메달 획득",2022-01-15,SBD
374,"이상호·정해림, 스노보드 월드컵 혼성 평행대회전 동메달 획득",2022-01-15,SBD
375,"‘배추보이’ 이상호, 스노보드 월드컵 대회전서 9위",2022-01-15,SBD
376,"이상호, 스노보드 월드컵 평행 대회전 9위 차지",2022-01-15,SBD
377,"‘배추보이’ 이상호, 스노보드 월드컵 대회전서 9위 ‘종합 1위’",2022-01-15,SBD
378,"'배추보이' 이상호, 월드컵 평행 대회전 9위…종합 1위 사수",2022-01-15,SBD
379,"'배추보이' 이상호, 스노보드 월드컵 평행 대회전 9위",2022-01-15,SBD
380,"이상호, 스노보드 월드컵 평행대회전 9위…시즌 종합순위는 1위",2022-01-15,SBD
381,"이상호, 스노보드 7차 월드컵 평행 대회전 9위…종합 1위는 지켜",2022-01-15,SBD
382,"이상호, 스노보드 월드컵 평행 대회전 9위…종합 순위는 1위",2022-01-15,SBD
383,[그래픽] 베이징 기대주⑨ 봅슬레이 원윤종 팀,2022-01-15,BOB
384,[베이징 기대주] 부상 악재 뚫고 내달리는 봅슬레이 원윤종팀,2022-01-15,BOB
385,[알고보는 베이징] ⑬ 썰매의 맏형…'얼음 위 슈퍼카' 봅슬레이,2022-01-15,BOB
386,[베이징동계올림픽 종목소개①]쇼트트랙,2022-01-15,STK
387,위기의 한국 쇼트트랙…어깨 무거운 최민정[베이징 이 선수①],2022-01-15,STK
388,"빙속 정재원, 페이스메이커에서 '뉴 에이스'로[베이징 이 선수②]",2022-01-16,SSK
389,"4년 전 실수 털어낸 빙속 김준호 ""기죽지 않고 덤빌 거예요""",2022-01-16,SSK
390,[베이징동계올림픽 종목소개②]스피드스케이팅,2022-01-16,SSK
391,"‘알파인 스키 간판’ 부산 강영서, 베이징행",2022-01-16,ALP
392,"하이원 정동현, 베이징 동계올림픽 간다",2022-01-16,ALP
393,[알면 재밌는 동계종목⑦] 인간도 날 수 있다…'국가대표'로 친숙해진 스키점프,2022-01-16,SJP
394,[베이징 확대경⑦] NHL의 불참… 빛 잃은 동계올림픽의 꽃 아이스하키,2022-01-16,IHO
395,[그래픽] 베이징 기대주⑩ 스켈레톤 아이언맨 윤성빈,2022-01-16,SKN
396,"[베이징 기대주] 아이언맨 윤성빈, 월드컵 부진 딛고 메달 쏠까",2022-01-16,SKN
397,"김보름, 베이징 동계올림픽 출전…""세 번째 올림픽은 즐기고 싶어""",2022-01-17,SSK
398,"명예회복 나선 이승훈·이규혁, 베이징 향해 전진 ""묵묵히 도전""",2022-01-17,SSK
399,"아픔은 이제 그만!…김보름 ""세 번째 올림픽은 즐기고 싶어요""",2022-01-17,SSK
400,"‘영미 신드롬’ 컬링, 알고 보면 치열하게 ‘각’ 재는 두뇌싸움",2022-01-17,CUR
401,29위 → 우승…설원 위의 '어부지리' 역전쇼,2022-01-17,ALP
402,부산시체육회 강영서 알파인 스키 올림픽 국대,2022-01-17,ALP
403,"평창 銀 '배추보이' 이상호, 베이징 하늘에 태극기를[베이징 이 선수③]",2022-01-17,SBD
404,[베이징동계올림픽 종목소개③]스노보드,2022-01-17,SBD
405,"‘배추보이’ 이상호, 7차례 월드컵서 종합 1위",2022-01-17,SBD
406,"클로이 김, 스노보드 월드컵 금메달 추가",2022-01-17,SBD
407,"‘스노보드’ 클로이 김, 올림픽 2연패 달성하나",2022-01-17,SBD
408,정선 출신 이상호 월드컵 혼성 평행대회전 銅,2022-01-17,SBD
409,이상호·정해림 스노보드 월드컵 혼성 동메달 합작,2022-01-17,SBD
410,2022 베이징 올림픽 크로스컨트리 국가대표 이의진,2022-01-17,CCS
411,“차준환이 감동을 줬다” 이 한마디 듣고 싶어요,2022-01-17,FSK
412,"피겨 차준환‧유영, 4대륙 출전 위해 에스토니아 출국",2022-01-17,FSK
413,[스포츠머그] 넘어지고도 손쉽게 우승?…러시아 '기록 제조기' 발리예바의 연기 수준,2022-01-17,FSK
414,"피겨 차준환·유영, 에스토니아 출국…4대륙선수권 참가",2022-01-17,FSK
415,"동생들에게 밀렸던 2위, 그래도 베이징의 꿈은 영근다",2022-01-17,FSK
416,[알면 재밌는 동계종목⑧] 악셀‧살코가 뭐야?…아름답지만 어려운 피겨스케이팅 세계,2022-01-17,FSK
417,베이징을 빛낼 기대주 <7> 스켈레톤 윤성빈,2022-01-17,SKN
418,"윤성빈 베이징행 확정, 두 대회 연속 메달 꿈 이어간다",2022-01-17,SKN
419,"여자 컬링 ‘팀 킴’, 베이징에선 “영미!” 대신 “초희!”",2022-01-18,CUR
420,컬링 팀킴 “어게인! 평창의 감동”,2022-01-18,CUR
421,쿨러닝은 계속된다…자메이카 사상 첫 올림픽 스키 출전,2022-01-18,ALP
422,"자메이카 ‘올림픽 쿨 러닝’, 이번엔 알파인 스키",2022-01-18,ALP
423,"'쿨러닝' 자메이카, 알파인 스키 · 봅슬레이에 동계올림픽 출전",2022-01-18,ALP
424,"'올림픽 4회 연속 출전 확정' 정동현, FIS컵 대회전서도 우승",2022-01-18,ALP
425,'제2 클러닝' 자메이카 사상 첫 올림픽 스키 선수 탄생,2022-01-18,ALP
426,"알파인스키 간판 정동현, FIS컵 회장배 대회전 우승",2022-01-18,ALP
427,"'쿨러닝' 자메이카, 알파인 스키·봅슬레이에 동계올림픽 출전(종합)",2022-01-18,ALP
428,"'제2의 쿨러닝' 자메이카 알렉산더, 사상 첫 올림픽 스키 출전",2022-01-18,ALP
429,[베이징동계올림픽 종목소개④]스키점프,2022-01-18,SJP
430,[그래픽] 베이징 동계올림픽 종목 소개 - 아이스하키,2022-01-18,IHO
431,[알고보는 베이징] (16) NHL 또 불참…앙꼬 빠진 아이스하키,2022-01-18,IHO
432,"'쿨러닝' 자메이카 봅슬레이대표팀, 베이징서 3개 세부 종목 출전",2022-01-18,BOB
433,꿈 깨진 쇼트트랙 심석희 “피해 받은 분들께 죄송”,2022-01-18,STK
434,"심석희, ‘가처분 기각’ 베이징행 좌절",2022-01-18,STK
435,"'올림픽 출전 불발' 심석희 ""피해받은 모든 분께 사과""",2022-01-18,STK
436,"심석희, 베이징행 무산…가처분 신청 기각",2022-01-18,STK
437,"'동료 비방 파문' 심석희, 결국 베이징 무대 못 선다",2022-01-18,STK
438,"쇼트트랙 심석희, 베이징 올림픽 출전 결국 무산",2022-01-18,STK
439,"심석희, 3회 연속 올림픽 출전 불발…법원 가처분 신청 기각",2022-01-18,STK
440,"'올림픽 출전 무산' 심석희 ""피해 받은 모든 분께 죄송하다""",2022-01-18,STK
441,"베이징행 끝내 좌절…심석희 ""결과 겸허히 받아들여""",2022-01-18,STK
442,"쇼트트랙 심석희, 베이징행 결국 불발",2022-01-18,STK
443,"'올림픽 출전 불발' 심석희 ""결과 받아들여…피해받은 모든 분께 사과""",2022-01-18,STK
444,"심석희, 베이징 올림픽 못 간다…“피해 받은 모든 분께 죄송”",2022-01-18,STK
445,최강자→미투→동료비하…올림픽행 좌절된 심석희,2022-01-18,STK
446,"심석희 베이징행 끝내 불발…법원, 가처분 신청 기각",2022-01-18,STK
447,"고개 숙인 심석희 ""피해 받은 모든 분들께 사과""",2022-01-18,STK
448,쇼트트랙 심석희 베이징 동계올림픽 출전 불발,2022-01-18,STK
449,"'올림픽 출전 불발' 심석희 ""피해받은 모든 분께 사과""(종합)",2022-01-18,STK
450,"법원도 외면한 심석희, 결국 올림픽 못 나간다",2022-01-18,STK
451,심석희 올림픽 출전 불발...메시지 유출로 추락,2022-01-18,STK
452,"여자 쇼트트랙 간판 심석희 베이징행 끝내 좌절, 대표팀 구성 어떻게 바뀌나",2022-01-18,STK
453,"심석희 빠진 쇼트트랙팀 어떻게 꾸리나…빙상연맹, 20일 경기력향상위 개최",2022-01-18,STK
454,"심석희 3회 연속 동계올림픽 출전 불발…법원, 가처분 신청 기각",2022-01-18,STK
455,"심석희, 올림픽 출전 끝내 불발… 법원 ‘가처분 신청 기각’",2022-01-18,STK
456,'베이징행 무산' 심석희…국내서 '다음'을 기약할 수 있을까,2022-01-18,STK
457,"심석희 올림픽 출전 불발...""피해받은 모든 분께 사과""",2022-01-18,STK
458,"고개 숙인 심석희 ""피해 받으신 분들께 죄송""",2022-01-18,STK
459,"심석희, 올림픽 못 간다…법원 가처분 신청 기각",2022-01-18,STK
460,"쇼트트랙 심석희의 베이징행, 결국 불발됐다",2022-01-18,STK
461,베이징행 좌절 심석희 “피해 받은 모든 분들께 죄송”,2022-01-18,STK
462,"심석희, 베이징올림픽 출전 불발…법원, 가처분 신청 기각",2022-01-18,STK
463,"심석희 베이징올림픽 출전 무산... 법원, 징계 정지 가처분 신청 기각",2022-01-18,STK
464,"심석희, 올림픽 출전 무산…법원 가처분 신청 기각",2022-01-18,STK
465,"심석희, 국가대표 자격정지 유지…올림픽 3회 연속 출전 좌절",2022-01-18,STK
466,"심석희, 올림픽 출전 불발…법원 가처분 신청 기각",2022-01-18,STK
467,"쇼트트랙 심석희, 올림픽 출전 최종 불발‥가처분 신청 기각",2022-01-18,STK
468,"가처분 기각 심석희, 세 번째 올림픽 출전 '물거품'",2022-01-18,STK
469,"심석희, 베이징 올림픽 출전 무산…징계정지 가처분 기각",2022-01-18,STK
470,"심석희, 3회 연속 올림픽 출전 무산...법원, 징계 효력 인정",2022-01-18,STK
471,"'동료 비하' 심석희, 베이징行 불발···법원, 징계정지 가처분 신청 기각",2022-01-18,STK
472,"강릉출신 심석희 올림픽 출전 불발…법원, 가처분 신청 기각",2022-01-18,STK
473,재기의 아이콘에서 올림픽 무산까지…고개 숙인 심석희,2022-01-18,STK
474,"심석희, 베이징 올림픽 출전 불발…법원이 가처분 신청 기각",2022-01-18,STK
475,"심석희, 베이징行 좌절…법원서 가처분 신청 기각",2022-01-18,STK
476,"'욕설 파문' 심석희, 끝내 3회 연속 올림픽 불발",2022-01-18,STK
477,"'올림픽 출전 불발' 심석희 측 ""항고 의미 없어…결과 아쉽다""",2022-01-18,STK
478,"심석희 베이징행 불발…법원, 가처분 신청 기각",2022-01-18,STK
479,"심석희 올림픽 출전 불발…법원, 가처분 신청 기각",2022-01-18,STK
480,심석희 올림픽 못 간다…징계 정지 가처분 신청 기각,2022-01-18,STK
481,金 최다 13개… 날아오르면 ‘화보’,2022-01-18,FRS
482,[스포츠영상] 프리스타일 스키 월드컵에서 나온 눈부신 점프,2022-01-18,FRS
483,"자메이카, 이번엔 알파인 스키로 쿨∼러닝",2022-01-19,ALP
484,정동현 평창 FIS컵 알파인 스키 대회전 우승,2022-01-19,ALP
485,"쉬다 와도 1등, 공부하다 와도 1등… 스노보드 1인자에겐 이변 1도 없다",2022-01-19,SBD
486,"베이징에선 못 날지만…""4년 뒤 7번째 올림픽 도전""",2022-01-19,SJP
487,평창 이어 베이징도… 파란 눈 코리안이 간다,2022-01-19,LUG
488,"한국 바이애슬론, 2022 베이징 올림픽 출전권 3장 확정",2022-01-19,BTH
489,"'트리플 골드' 에릭 스탈, 베이징올림픽 목표로 빙판 복귀",2022-01-19,IHO
490,"[알면 재밌는 동계종목⑩] 160㎞의 퍽과 바디체크, 동계스포츠의 꽃 아이스하키",2022-01-19,IHO
491,“뭐가 뭔지 모르겠어요” 세계대회 2위 신의현 입담은 여전,2022-01-19,CCS
492,심석희·임효준…올림픽 앞두고 고개 숙인 평창 영웅들,2022-01-19,STK
493,"기량은 금메달, 품위는 노메달… 쇼트트랙 스타의 몰락",2022-01-19,STK
494,"'가서도 떨어졌네'… '중국 귀화' 임효준, 베이징올림픽 국대 선발전 탈락",2022-01-19,STK
495,"중국 귀화 임효준, 베이징동계올림픽 최종 선발전 탈락",2022-01-19,STK
496,심석희 빠진 쇼트트랙…비 온 뒤 땅 굳힐까 [김윤일의 역주행],2022-01-19,STK
497,[뉴스메이커] 심석희,2022-01-19,STK
498,"사라진 국가대표 품위…심석희·임효준, 베이징행 무산",2022-01-19,STK
499,[영상] 심석희 베이징올림픽 출전 물거품…법원 가처분신청 기각,2022-01-19,STK
500,"中귀화 임효준, 올림픽 출전 무산…쇼트트랙 中대표선발전서 탈락",2022-01-19,STK
501,"Shim Suk-hee loses legal challenge, will miss Beijing Games",2022-01-19,STK
502,"네덜란드 매체 ""슐팅 경쟁자 심석희, 베이징행 불발""",2022-01-19,STK
503,마지막까지 매달렸던 '올림픽 3회 연속 출전'...반전은 없었다,2022-01-19,STK
504,"네덜란드 매체 ""슐팅 경쟁자 심석희, 올림픽 불발""",2022-01-19,STK
505,"‘신기록 제조기’ 발리예바, 베이징서도 새역사 쓰나",2022-01-19,FSK
506,"[단독 인터뷰]'김연아 승부사 기질' 장착 김예림 ""올림픽에서 무결점 연기 해낼게요""",2022-01-19,FSK
507,"'아이언맨' 윤성빈, 베이징서 또다시 기적 노린다[베이징 이 선수④]",2022-01-19,SKN
508,[베이징동계올림픽 종목소개⑤]스켈레톤,2022-01-19,SKN
509,"""딸 같은 팀킴…며느리와 맞대결 승리할 것""",2022-01-20,CUR
510,[베이징동계올림픽 기대주]더 단단해진 ‘팀 킴' 2회 연속 메달 신화 넘본다,2022-01-20,CUR
511,알고 보는 베이징 <2> 컬링,2022-01-20,CUR
512,"알파인스키 정동현, FIS컵 회장배 2관왕 등극",2022-01-20,ALP
513,"'4연속 올림픽 출전' 정동현, FIS 컵 회전 우승…대회 2관왕",2022-01-20,ALP
514,"정동현, FIS컵 알파인 스키 남자 회전 우승…베이징에서 4번째 올림픽 도전",2022-01-20,ALP
515,"'4회 연속 올림픽 출전' 정동현, FIS컵 2관왕 쾌거",2022-01-20,ALP
516,"정동현, FIS컵 회장배 알파인스키 남자 회전 우승 '대회 2관왕'",2022-01-20,ALP
517,'스키판 쿨러닝' 자메이카 첫 알파인 올림픽 출전,2022-01-20,ALP
518,심장병 이긴 ‘강심장’… 점프! 마지막 대관식,2022-01-20,SBD
519,[알면 재밌는 동계종목⑪] 북유럽 겨울서 살아남으려면…크로스컨트리 스키,2022-01-20,CCS
520,올림픽 쇼트트랙 대표팀 최종 확정…'부상 여파' 김지유 결국 제외,2022-01-20,STK
521,쇼트트랙 대표팀 확정…“전력약화? 원팀으로 도전!”,2022-01-20,STK
522,"최민정·이유빈·김아랑, 개인전 출전…김지유 올림픽 불발",2022-01-20,STK
523,"빙상연맹, 심석희 제외한 올림픽 쇼트트랙 대표팀 최종 확정",2022-01-20,STK
524,"최민정, 이유빈 등 올림픽 쇼트트랙 대표 팀 최종 확정",2022-01-20,STK
525,쇼트트랙 대표팀 명단 최종 확정…최민정과 함께 베이징 갈 선수는 누구,2022-01-20,STK
526,"쇼트트랙 김지유, 부상으로 베이징행 무산…이유빈 개인전 출전",2022-01-20,STK
527,"빙상연맹, 올림픽 쇼트트랙 대표팀 최종 확정…김지유 제외",2022-01-20,STK
528,선발전 3위 김지유도 탈락… 쇼트트랙 올림픽 명단 확정,2022-01-20,STK
529,"빙상연맹, 올림픽 쇼트트랙 대표팀 최종 확정…김지유 제외",2022-01-20,STK
530,"ISU ""한국은 쇼트트랙 강국, 평창 영웅 최민정이 앞장설 것"" [베이징 D-15]",2022-01-20,STK
531,아직도 나와? 베이징 가는 쇼트트랙 전설 샤를 아믈랭,2022-01-20,STK
532,"ISU, 베이징 올림픽 앞두고 최민정 조명…""한국 영광 위해 앞장설 선수""",2022-01-20,STK
533,"ISU ""최민정, 한국 영광 위해 앞장설 것""…황대헌 등도 조명",2022-01-20,STK
534,"차준환의 승부수는 '힘과 춤'…""예감이 좋아요""",2022-01-20,FSK
535,하계 올림픽서 첫 출발… 스케이트 날 부위 따라 토·에지 점프 구분,2022-01-20,FSK
536,"ISU 베이징올림픽 앞두고 한국 피겨 조명…""김연아의 유산""",2022-01-20,FSK
537,"국제빙상연맹 ""김연아가 남긴 유산…한국 피겨선수들이 나선다""",2022-01-20,FSK
538,"피겨 간판 차준환, 베이징 목표는 '후회 안 남기기'[베이징 이 선수⑤]",2022-01-20,FSK
539,[베이징동계올림픽 종목소개⑥]피겨스케이팅,2022-01-20,FSK
540,‘김연아의 추천곡’ 맞춰 베이징 사로잡으러 간다,2022-01-20,FSK
541,"‘미국 스키의 별’ 에일린 구, 중국 대표를 선택한 이유",2022-01-20,FRS
542,알파인스키 간판 정동현 2관왕 질주,2022-01-21,ALP
543,정동현 평창 FIS 알파인스키 회전경기 우승,2022-01-21,ALP
544,알고 보는 베이징 <3> 바이애슬론,2022-01-21,BTH
545,한국 아이스하키의 ‘자존심’ 미국 간다,2022-01-21,IHO
546,"봅슬레이 원윤종 팀, 평창 영광 다시 한 번[베이징 이 선수⑥]",2022-01-21,BOB
547,[베이징동계올림픽 종목소개⑦]봅슬레이,2022-01-21,BOB
548,[알면 재밌는 동계종목⑫] '무한도전'과 '쿨러닝'으로 다가온 봅슬레이의 모든 것,2022-01-21,BOB
549,"‘세계랭킹 1위’ 많이 큰 이유빈, 심석희 공백 덮나",2022-01-21,STK
550,"올림픽 쇼트트랙 대표팀 확정…심석희는 '징계', '선발 3위' 김지유는 부상 제외",2022-01-21,STK
551,"'논란' 심석희-'부상' 김지유 빠진 女 쇼트트랙, 올림픽 대표팀 명단 확정",2022-01-21,STK
552,"쇼트트랙 대표팀 확정, 부상 김지유 제외",2022-01-21,STK
553,"올림픽 쇼트트랙 대표팀 확정…'선발 3위' 김지유, 부상으로 제외",2022-01-21,STK
554,빙상연맹 쇼트트랙 대표팀 최종 확정…김지유 제외,2022-01-21,STK
555,1위 심석희·3위 김지유 빠진 대표팀 명단 확정...이유빈 기대↑,2022-01-21,STK
556,"[베이징 확대경⑫] '얼음 공주' 최민정, 세계 1위 슐팅 넘고 '최강' 지킬까",2022-01-21,STK
557,"쇼트트랙 황대헌, ‘퍼펙트게임’처럼 나와의 싸움 즐겨요",2022-01-21,STK
